Commit_Hash,Source,Amount_of_Timesteps,Multiple,Separate_Loop,Sampling,Max_Iterations,Iterations,Time_In_Seconds,NN_Index,Percentage,RMSE_Marginal_Mean,RMSE_Marginal_Variance,RMSE_Marginal_Rho,RMSE_Marginal_Tau,MAE_Marginal_Mean,MAE_Marginal_Variance,MAE_Marginal_Rho,MAE_Marginal_Tau,MAPE_Marginal_Mean,MAPE_Marginal_Variance,MAPE_Marginal_Rho,MAPE_Marginal_Tau
cac03ca0bfa8eec99dda9ac4fcde722641d52885,SoH,9024,false,false,false,200,200,6124.22655415535,1,1.0,0.011646762,0.009900119,9900.005,6926.935,0.011641,0.009900106,9900.001,6926.935,0.016640058,99.00111,0.9900005,0.9901666
cac03ca0bfa8eec99dda9ac4fcde722641d52885,DSOC,9024,false,false,false,200,200,6124.22655415535,1,1.0,0.0008413297,0.01004154,9900.014,8.806116,3.7194535e-5,0.009916618,9900.011,8.787947,NaN,99.16622,0.9900015,NaN
cac03ca0bfa8eec99dda9ac4fcde722641d52885,SoH,9024,false,false,false,200,200,5627.735743045807,2,1.0,0.019047994,0.009900119,9900.005,6927.676,0.019046407,0.009900106,9900.001,6927.6753,0.027225656,99.00111,0.9900005,0.99027246
cac03ca0bfa8eec99dda9ac4fcde722641d52885,DSOC,9024,false,false,false,200,200,5627.735743045807,2,1.0,0.00015390162,0.01004154,9900.014,8.804555,9.740624e-6,0.009916618,9900.011,8.786432,NaN,99.16622,0.9900015,NaN
cac03ca0bfa8eec99dda9ac4fcde722641d52885,SoH,9024,false,false,false,200,200,6437.810083150864,3,1.0,0.01161025,0.009900119,9900.005,6926.9316,0.011607332,0.009900106,9900.001,6926.9316,0.016591921,99.00111,0.9900005,0.990166
cac03ca0bfa8eec99dda9ac4fcde722641d52885,DSOC,9024,false,false,false,200,200,6437.810083150864,3,1.0,5.2242354e-5,0.01004154,9900.014,8.804551,3.677913e-6,0.009916618,9900.011,8.786395,NaN,99.16622,0.9900015,NaN
5575de24240c6273f2aab0d180164e7663f117cc,SoH,9024,true,false,false,200,200,19958.27198290825,0,1.0,0.011580791,0.009900119,9900.005,6926.9287,0.011577141,0.009900106,9900.001,6926.928,0.01654877,99.00111,0.9900005,0.99016553
5575de24240c6273f2aab0d180164e7663f117cc,DSOC,9024,true,false,false,200,200,19958.27198290825,0,1.0,0.0003411678,0.01004154,9900.014,8.805598,2.0358078e-5,0.009916618,9900.011,8.787496,NaN,99.16622,0.9900015,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,false,false,false,200,0,42.95577692985535,1,0.75,0.019234808,9.603069e9,9999.974,6995.713,0.01922975,9.602006e9,9999.979,6995.7124,0.027487729,9.601999e13,0.99999785,0.99999785
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,42.95577692985535,1,0.75,0.01524022,4.8517192e11,9950.135,8.915782,0.012738638,2.450237e11,9950.011,8.881666,NaN,2.4502383e15,0.9950012,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,false,false,false,200,0,34.868112087249756,2,0.75,0.0029719486,9.603061e9,9999.976,6995.7144,0.0029404687,9.602002e9,9999.98,6995.714,0.004203358,9.601999e13,0.99999803,0.99999803
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,34.868112087249756,2,0.75,0.0037692562,4.8517192e11,9950.135,8.895662,0.0033907653,2.450237e11,9950.011,8.87299,NaN,2.4502383e15,0.9950012,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,false,false,false,200,0,41.19044303894043,3,0.75,0.025436388,9.603069e9,9999.977,6995.7144,0.02543048,9.602002e9,9999.98,6995.714,0.036351327,9.601999e13,0.99999803,0.99999803
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,41.19044303894043,3,0.75,0.032047547,4.8517192e11,9950.135,8.895949,0.017655663,2.450237e11,9950.011,8.872758,NaN,2.4502383e15,0.9950012,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,true,false,false,200,0,120.25484609603882,4,0.75,0.013915885,9.603069e9,9999.976,6995.714,0.0139131555,9.602002e9,9999.98,6995.714,0.019887954,9.601999e13,0.99999803,0.99999803
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,true,false,false,200,0,120.25484609603882,4,0.75,0.0072388486,4.8517192e11,9950.135,8.893384,0.0043664146,2.450237e11,9950.011,8.875543,NaN,2.4502383e15,0.9950012,NaN
