Commit_Hash;Source;Factor;N;SamplesPerInput;Experiment;Target;RMSE_Marginal_Mean;RMSE_Marginal_Variance;RMSE_Marginal_Rho;RMSE_Marginal_Tau;RMSE_Msg_Mean;RMSE_Msg_Variance;RMSE_Msg_Rho;RMSE_Msg_Tau;MAE_Marginal_Mean;MAE_Marginal_Variance;MAE_Marginal_Rho;MAE_Marginal_Tau;MAE_Msg_Mean;MAE_Msg_Variance;MAE_Msg_Rho;MAE_Msg_Tau;MAPE_Marginal_Mean;MAPE_Marginal_Variance;MAPE_Marginal_Rho;MAPE_Marginal_Tau;MAPE_Msg_Mean;MAPE_Msg_Variance;MAPE_Msg_Rho;MAPE_Msg_Tau
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;1000;2;targets_X;3.3025694;30.675482;0.101483166;5.2386527;161.28514;4315.7124;0.101483166;5.2386527;2.1193087;16.459412;0.03380977;1.614694;40.78092;1208.3018;0.03380977;1.614694;0.24061206;0.30719033;0.41411358;0.6363443;3.68775;2.596908;1.9683762;3.4899855
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;20000;1000000;3;targets_Y;0.08201008;0.8396059;0.0093935905;0.4210871;80.96918;60.63978;0.0093935905;0.4210871;0.058966126;0.5308182;0.001500277;0.06288034;6.1997147;14.922935;0.001500277;0.06288034;0.010386604;0.016222583;0.014855442;0.022986421;0.3232;0.09585518;0.072996475;0.23164502
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;2000;1000000;1;targets_Y;0.025702074;0.40537435;0.0012542106;0.09025968;2.428571;607.948;0.0012542106;0.09025968;0.017355664;0.20859742;0.00037284443;0.019475678;0.32204714;78.809525;0.00037284443;0.019475678;0.0014817558;0.0037540025;0.0037534446;0.0046320753;0.035653837;0.036894318;0.035761494;0.056458663
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;100000;1;targets_X;0.106024414;1.4861108;0.0040966454;0.21579309;5.3156157;1338.874;0.0040966454;0.21579309;0.07176044;0.7740532;0.0013026551;0.063758016;1.0218478;228.87845;0.0013026551;0.063758016;0.010497213;0.013515403;0.013461441;0.021756819;0.074991204;0.11223025;0.099356346;0.15170105
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;1000000;3;targets_Z;0.047149267;0.90970933;0.00020462659;0.050113607;2.9007626;2530.379;0.00020462659;0.050113607;0.035105098;0.6025247;5.5682252e-5;0.014702075;1.643421;1156.9995;5.5682252e-5;0.014702075;0.00072877196;0.0036036125;0.0036061695;0.004053612;0.02113314;0.12681556;0.1348175;0.14474984
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;200;1000000;2;targets_Y;0.08613334;0.9335371;0.003584001;0.21681094;28.89553;68.14645;0.003584001;0.21681094;0.063458174;0.5990421;0.0011261468;0.05409699;6.3549027;18.871733;0.0011261468;0.05409699;0.00629516;0.01604433;0.015249356;0.019396871;0.15257394;0.09851983;0.070727445;0.09881322
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;1000;2;targets_Y;7.981043;79.55391;0.13550271;6.5294795;3525.932;8814.982;0.13550271;6.5294795;5.347716;46.864964;0.04745562;2.1061182;1679.865;3817.0188;0.04745562;2.1061182;0.94823396;1.6420766;0.76149774;1.3807667;73.48101;111.61983;5.5915523;122.6208
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;10000000;1;targets_X;0.073150486;0.6280978;0.0015177854;0.0781685;18.280052;63.448814;0.0015177854;0.0781685;0.053486977;0.4241913;0.00058923586;0.026097007;3.7333567;14.890843;0.00058923586;0.026097007;0.006094358;0.010181664;0.010195352;0.014375046;0.25290263;0.06658639;0.06013368;0.24662039
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;100000;3;targets_X;0.105050124;1.4669994;0.0035219833;0.20172504;3.9093466;1243.529;0.0035219833;0.20172504;0.070868574;0.7517556;0.0013320242;0.0680869;0.95202464;211.95226;0.0013320242;0.0680869;0.018246552;0.013334993;0.013295372;0.02936159;0.107498266;0.11259715;0.09525425;0.16995192
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;1000;1;targets_Y;7.3846173;76.74239;0.14419247;8.336744;3391.899;8654.731;0.14419247;8.336744;5.1035485;46.052235;0.047443315;2.1761014;1583.0627;3748.5935;0.047443315;2.1761014;0.73074514;1.5181912;0.78007764;1.203263;76.90876;100.86728;5.838231;12.012831
